method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
hierarchical_intelligent_no_filter,7,0.10740740845600764,0.0013094569241475908,59.04425493876139,27.303340051718216,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,144.85299569670656,22.17541724839938,47.916666666666664,10.598905865963504,117.66666666666667,2.8674417556808756,69.33333333333333,1.9610428064906902,127.66666666666667,2.8674417556808756,0,0.0,0.6879635932733278,0.012892220222844749,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,8,0.10740740845600764,0.0013094569241475908,95.51547876993816,53.888614861026795,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,151.0228409550223,29.5523263515989,52.416666666666664,12.617916054386935,98.33333333333333,11.728408057172787,67.25333333333334,3.922085612981387,108.33333333333333,11.728408057172787,0,0.0,0.6972724123899936,0.02179097782161209,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,1,0.12592593083779016,0.015930234202234588,3.5938024520874023,0.6534687269569439,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,103.10677998408924,9.948155127387349,58.541666666666664,6.260269341028565,107.33333333333333,3.2998316455372216,71.41333333333333,2.5942157881632637,117.33333333333333,3.2998316455372216,0,0.0,0.4,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,2,0.12407407661279042,0.05223075866311469,6.330363829930623,3.2910819540848015,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,97.72071438703142,6.613261733432394,57.0,11.916812353421811,99.33333333333333,12.552113589175153,69.33333333333333,3.5353201960909946,109.33333333333333,12.552113589175153,0,0.0,0.5818181818181818,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,3,0.09814814974864323,0.012491422925112428,14.25284226735433,3.1292458568434647,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,100.31209479331432,2.701854604107689,52.791666666666664,4.6963342678684565,93.33333333333333,14.613540144521982,70.02666666666667,4.9026070162267255,103.33333333333333,14.613540144521982,0,0.0,0.6889952153110048,0.0487193188951497,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,4,0.11481481542189916,0.04134650413141932,23.18941879272461,5.327976278267974,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,116.5796855585846,29.59171496648119,62.958333333333336,7.455655944016969,109.33333333333333,6.79869268479038,66.56,6.123354200653972,119.33333333333333,6.79869268479038,0,0.0,0.7262535262535262,0.03587322850282308,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,5,0.11203703780968984,0.013289536332333086,29.149813652038574,16.602810952018604,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,134.92875363229652,24.19316824887062,55.875,4.844455593769025,98.0,24.91318258807306,70.02666666666667,0.9805214032453451,108.0,24.91318258807306,0,0.0,0.7405217865266291,0.05725705342798045,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,6,0.10462963084379832,0.010227185517437445,46.653581619262695,25.227076473740453,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,174.74249394217838,39.92863661351844,63.708333333333336,21.275066914635598,118.66666666666667,6.018490028422596,67.94666666666667,1.9610428064906902,128.66666666666666,6.018490028422596,0,0.0,0.8146828609986505,0.05338095531610216,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,7,0.13148148357868195,0.03666479738836992,85.34160041809082,45.739451423628005,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,192.59701085943567,19.483551223367304,66.20833333333333,7.677302405286783,113.66666666666667,3.0912061651652345,67.94666666666667,0.9805214032453451,123.66666666666667,3.0912061651652345,0,0.0,0.8183703703703704,0.03786105563250553,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_random_fedavg,8,0.11666666716337204,0.04380324247251155,93.98212051391602,50.289754537599855,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,166.78792498088904,41.01250128309058,62.041666666666664,9.85114911514839,111.0,9.41629792788369,71.41333333333333,3.5353201960909946,121.0,9.41629792788369,0,0.0,0.8123894357249254,0.03925561557965989,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
