method,client_id,num_runs,data_size_mean,data_size_std,selection_count_mean,selection_count_std,accepted_update_count_mean,accepted_update_count_std,rejected_update_count_mean,rejected_update_count_std,acceptance_rate_mean,acceptance_rate_std,selection_freshness_score_mean,selection_freshness_score_std,selection_pressure_mean,selection_pressure_std,diversity_score_mean,diversity_score_std,historical_utility_mean,historical_utility_std,reliability_score_mean,reliability_score_std,battery_level_mean,battery_level_std,network_latency_mean,network_latency_std
hierarchical_intelligent_fedavg,C3,1,149,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5561931203494539,0.0,0.6446675921223088,0.0,0.9436011714175558,0.0,63,0.0,56,0.0
hierarchical_intelligent_fedavg,C4,1,221,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.533464232738056,0.0,0.5575931475198583,0.0,0.9237771818212268,0.0,61,0.0,40,0.0
hierarchical_intelligent_fedavg,C5,1,182,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.621843695350803,0.0,0.5635802600341177,0.0,0.8081091703838218,0.0,58,0.0,12,0.0
hierarchical_intelligent_fedavg,C6,1,141,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5746862648797676,0.0,0.6511401927079187,0.0,0.8680516423785345,0.0,74,0.0,106,0.0
hierarchical_intelligent_fedavg,C7,1,216,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5770873822895232,0.0,0.5717237610027485,0.0,0.8169395849165675,0.0,57,0.0,26,0.0
hierarchical_intelligent_fedavg,C8,1,79,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.6026534720775313,0.0,0.576846727367214,0.0,0.9223121220996972,0.0,65,0.0,68,0.0
hierarchical_intelligent_fedavg,C9,1,123,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5758741856141364,0.0,0.6131191755823138,0.0,0.8155746219993651,0.0,75,0.0,28,0.0
hierarchical_intelligent_no_fairness,C1,1,177,0.0,2,0.0,2,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6126109075161543,0.0,0.48058038992007085,0.0,0.8476102585087828,0.0,76,0.0,86,0.0
hierarchical_intelligent_no_fairness,C10,1,46,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.5527899713537379,0.0,0.5157039836254239,0.0,0.9124636706896924,0.0,70,0.0,66,0.0
hierarchical_intelligent_no_fairness,C2,1,103,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47710561162629583,0.0,0.6169869640692035,0.0,0.8952569086167362,0.0,94,0.0,96,0.0
