method,client_id,num_runs,data_size_mean,data_size_std,selection_count_mean,selection_count_std,accepted_update_count_mean,accepted_update_count_std,rejected_update_count_mean,rejected_update_count_std,acceptance_rate_mean,acceptance_rate_std,selection_freshness_score_mean,selection_freshness_score_std,selection_pressure_mean,selection_pressure_std,diversity_score_mean,diversity_score_std,historical_utility_mean,historical_utility_std,reliability_score_mean,reliability_score_std,battery_level_mean,battery_level_std,network_latency_mean,network_latency_std
hierarchical_intelligent_fedavg,C2,5,76.4,22.38392280186831,5.8,2.6381811916545836,5.8,2.6381811916545836,0,0.0,1.0,0.0,0.15,0.1224744871391589,1.0,0.0,0.5858650438440219,0.03927282369017501,0.5257339504785611,0.16352313014707695,0.8268279365644129,0.0834374837854452,41,10.411532067856296,40.2,17.83704011320264
hierarchical_intelligent_fedavg,C20,5,98.2,26.40757467091592,3,3.3466401061363023,3,3.3466401061363023,0,0.0,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6118265632430223,0.030261771555823998,0.6281424880819843,0.04292836936980212,0.8581066933899537,0.0243437988530461,42.4,18.778711350888802,83.8,32.43084951092092
hierarchical_intelligent_fedavg,C3,5,58.8,18.214280112043955,2.6,2.6532998322843198,2.6,2.6532998322843198,0,0.0,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.5314800268144226,0.06552564936065787,0.5468105450301665,0.0869980105484117,0.8702395743858692,0.05309149296120608,43.4,18.084247288731707,82.8,22.990432792794483
hierarchical_intelligent_fedavg,C4,5,82.8,25.43540839066674,6.4,4.127953488110059,6.4,4.127953488110059,0,0.0,0.8,0.4,0.2,0.4,0.8,0.4,0.512343531826066,0.05401881494188358,0.5632892699061203,0.06911420490212457,0.840295782669694,0.025702055452219034,55,19.88969582472291,47.8,39.280529527998986
hierarchical_intelligent_fedavg,C5,5,64.8,17.16275036233995,3.8,3.8157568056677826,3.8,3.8157568056677826,0,0.0,0.6,0.4898979485566356,0.45,0.458257569495584,0.6,0.4898979485566356,0.5844102277854324,0.04268519921469717,0.637460366193936,0.06000223247903153,0.8719588519604441,0.039516049206194906,47.2,14.048487463068756,92.4,27.63765547219952
hierarchical_intelligent_fedavg,C6,5,79,27.24701818548224,7.2,3.1874754901018454,7.2,3.1874754901018454,0,0.0,1.0,0.0,0.15,0.2,1.0,0.0,0.5417364404121807,0.059261337171933194,0.5579555300686082,0.09166353545487503,0.85247343439484,0.029790708618813957,55.4,12.737346662472527,48.8,19.913814300630605
hierarchical_intelligent_fedavg,C7,5,85.8,27.117522010685267,1.4,1.8547236990991407,1.4,1.8547236990991407,0,0.0,0.6,0.4898979485566356,0.75,0.31622776601683794,0.6,0.4898979485566356,0.5267311757536163,0.0696135896972595,0.6131656988383677,0.046259203404788125,0.8426517175414722,0.029389132013289115,37.6,13.92264342716569,66,37.44329045369811
hierarchical_intelligent_fedavg,C8,5,75,16.29723902997069,3.8,3.249615361854384,3.8,3.249615361854384,0,0.0,1.0,0.0,0.6,0.37416573867739417,1.0,0.0,0.5433842228242708,0.05382531445967922,0.5375228623499028,0.1617934316812363,0.8696923317885015,0.06455796761165523,51.6,18.05103875127412,77.8,34.33598695246723
hierarchical_intelligent_fedavg,C9,5,67,14.791889669680478,3.6,3.6110940170535577,3.6,3.6110940170535577,0,0.0,0.8,0.4,0.35,0.43588989435406733,0.8,0.4,0.5609180386353718,0.08773899775211681,0.5862953136065112,0.1381961667445059,0.8596974378701973,0.06057967873090991,50.4,13.032267646115928,56.2,22.03088740836374
hierarchical_intelligent_no_fairness,C1,5,61.6,23.66938951472978,2.4,3.0066592756745814,2.2,2.9933259094191533,0.2,0.4,0.5333333333333333,0.4521553322083512,0.65,0.43588989435406733,0.5333333333333333,0.4521553322083512,0.5066778901105419,0.058355218744592006,0.5877850826226166,0.09422972041580385,0.8212161619658583,0.06838245294925545,41.8,12.734205903785284,85.2,27.432827050816325
